民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
110,1,3,中和區,0歲,0,0,不相關,0.0,男,1170
110,1,3,中和區,0歲,0,0,不相關,0.0,女,1065
110,1,3,中和區,1歲,1,1,不相關,0.0,男,1388
110,1,3,中和區,1歲,1,1,不相關,0.0,女,1278
110,1,3,中和區,2歲,2,2,不相關,0.0,男,1414
110,1,3,中和區,2歲,2,2,不相關,0.0,女,1385
110,1,3,中和區,3歲,3,3,不相關,0.0,男,1624
110,1,3,中和區,3歲,3,3,不相關,0.0,女,1394
110,1,3,中和區,4歲,4,4,不相關,0.0,男,1593
110,1,3,中和區,4歲,4,4,不相關,0.0,女,1442
110,1,3,中和區,5歲,5,5,不相關,0.0,男,1598
110,1,3,中和區,5歲,5,5,不相關,0.0,女,1498
110,1,3,中和區,6歲,6,6,不相關,0.0,男,1695
110,1,3,中和區,6歲,6,6,不相關,0.0,女,1603
110,1,3,中和區,7歲,7,7,不相關,0.0,男,1560
110,1,3,中和區,7歲,7,7,不相關,0.0,女,1415
110,1,3,中和區,8歲,8,8,不相關,0.0,男,1809
110,1,3,中和區,8歲,8,8,不相關,0.0,女,1744
110,1,3,中和區,9歲,9,9,不相關,0.0,男,1504
110,1,3,中和區,9歲,9,9,不相關,0.0,女,1419
110,1,3,中和區,10歲,10,10,不相關,0.0,男,1275
110,1,3,中和區,10歲,10,10,不相關,0.0,女,1096
110,1,3,中和區,11歲,11,11,不相關,0.0,男,1309
110,1,3,中和區,11歲,11,11,不相關,0.0,女,1224
110,1,3,中和區,12歲,12,12,不相關,0.0,男,1271
110,1,3,中和區,12歲,12,12,不相關,0.0,女,1192
110,1,3,中和區,13歲,13,13,不相關,0.0,男,1400
110,1,3,中和區,13歲,13,13,不相關,0.0,女,1347
110,1,3,中和區,14歲,14,14,不相關,0.0,男,1579
110,1,3,中和區,14歲,14,14,不相關,0.0,女,1388
110,1,3,中和區,15歲,15,15,不相關,0.0,男,1621
110,1,3,中和區,15歲,15,15,不相關,0.0,女,1460
110,1,3,中和區,16歲,16,16,不相關,0.0,男,1762
110,1,3,中和區,16歲,16,16,不相關,0.0,女,1578
110,1,3,中和區,17歲,17,17,不相關,0.0,男,1880
110,1,3,中和區,17歲,17,17,不相關,0.0,女,1619
110,1,3,中和區,18歲,18,18,完全落入,1.0,男,2008
110,1,3,中和區,18歲,18,18,完全落入,1.0,女,1805
110,1,3,中和區,19歲,19,19,完全落入,1.0,男,1934
110,1,3,中和區,19歲,19,19,完全落入,1.0,女,1837
110,1,3,中和區,20歲,20,20,完全落入,1.0,男,2448
110,1,3,中和區,20歲,20,20,完全落入,1.0,女,2285
110,1,3,中和區,21歲,21,21,完全落入,1.0,男,2277
110,1,3,中和區,21歲,21,21,完全落入,1.0,女,2102
110,1,3,中和區,22歲,22,22,完全落入,1.0,男,2117
110,1,3,中和區,22歲,22,22,完全落入,1.0,女,2067
110,1,3,中和區,23歲,23,23,完全落入,1.0,男,2566
110,1,3,中和區,23歲,23,23,完全落入,1.0,女,2401
110,1,3,中和區,24歲,24,24,完全落入,1.0,男,2550
110,1,3,中和區,24歲,24,24,完全落入,1.0,女,2510
110,1,3,中和區,25歲,25,25,完全落入,1.0,男,2655
110,1,3,中和區,25歲,25,25,完全落入,1.0,女,2533
110,1,3,中和區,26歲,26,26,完全落入,1.0,男,2605
110,1,3,中和區,26歲,26,26,完全落入,1.0,女,2419
110,1,3,中和區,27歲,27,27,完全落入,1.0,男,2743
110,1,3,中和區,27歲,27,27,完全落入,1.0,女,2539
110,1,3,中和區,28歲,28,28,完全落入,1.0,男,2768
110,1,3,中和區,28歲,28,28,完全落入,1.0,女,2520
110,1,3,中和區,29歲,29,29,完全落入,1.0,男,2679
110,1,3,中和區,29歲,29,29,完全落入,1.0,女,2484
110,1,3,中和區,30歲,30,30,完全落入,1.0,男,3025
110,1,3,中和區,30歲,30,30,完全落入,1.0,女,2670
110,1,3,中和區,31歲,31,31,完全落入,1.0,男,2724
110,1,3,中和區,31歲,31,31,完全落入,1.0,女,2553
110,1,3,中和區,32歲,32,32,完全落入,1.0,男,3022
110,1,3,中和區,32歲,32,32,完全落入,1.0,女,2931
110,1,3,中和區,33歲,33,33,完全落入,1.0,男,2700
110,1,3,中和區,33歲,33,33,完全落入,1.0,女,2675
110,1,3,中和區,34歲,34,34,完全落入,1.0,男,2534
110,1,3,中和區,34歲,34,34,完全落入,1.0,女,2584
110,1,3,中和區,35歲,35,35,完全落入,1.0,男,2993
110,1,3,中和區,35歲,35,35,完全落入,1.0,女,2902
110,1,3,中和區,36歲,36,36,不相關,0.0,男,3317
110,1,3,中和區,36歲,36,36,不相關,0.0,女,3240
110,1,3,中和區,37歲,37,37,不相關,0.0,男,3333
110,1,3,中和區,37歲,37,37,不相關,0.0,女,3268
110,1,3,中和區,38歲,38,38,不相關,0.0,男,3524
110,1,3,中和區,38歲,38,38,不相關,0.0,女,3556
110,1,3,中和區,39歲,39,39,不相關,0.0,男,3645
110,1,3,中和區,39歲,39,39,不相關,0.0,女,3701
110,1,3,中和區,40歲,40,40,不相關,0.0,男,3673
110,1,3,中和區,40歲,40,40,不相關,0.0,女,3747
110,1,3,中和區,41歲,41,41,不相關,0.0,男,3916
110,1,3,中和區,41歲,41,41,不相關,0.0,女,3929
110,1,3,中和區,42歲,42,42,不相關,0.0,男,3679
110,1,3,中和區,42歲,42,42,不相關,0.0,女,3862
110,1,3,中和區,43歲,43,43,不相關,0.0,男,3534
110,1,3,中和區,43歲,43,43,不相關,0.0,女,3536
110,1,3,中和區,44歲,44,44,不相關,0.0,男,3813
110,1,3,中和區,44歲,44,44,不相關,0.0,女,3962
110,1,3,中和區,45歲,45,45,不相關,0.0,男,3235
110,1,3,中和區,45歲,45,45,不相關,0.0,女,3373
110,1,3,中和區,46歲,46,46,不相關,0.0,男,3204
110,1,3,中和區,46歲,46,46,不相關,0.0,女,3305
110,1,3,中和區,47歲,47,47,不相關,0.0,男,3242
110,1,3,中和區,47歲,47,47,不相關,0.0,女,3352
110,1,3,中和區,48歲,48,48,不相關,0.0,男,3126
110,1,3,中和區,48歲,48,48,不相關,0.0,女,3348
110,1,3,中和區,49歲,49,49,不相關,0.0,男,3164
110,1,3,中和區,49歲,49,49,不相關,0.0,女,3434
110,1,3,中和區,50歲,50,50,不相關,0.0,男,3162
110,1,3,中和區,50歲,50,50,不相關,0.0,女,3513
110,1,3,中和區,51歲,51,51,不相關,0.0,男,3087
110,1,3,中和區,51歲,51,51,不相關,0.0,女,3393
110,1,3,中和區,52歲,52,52,不相關,0.0,男,3024
110,1,3,中和區,52歲,52,52,不相關,0.0,女,3389
110,1,3,中和區,53歲,53,53,不相關,0.0,男,2992
110,1,3,中和區,53歲,53,53,不相關,0.0,女,3157
110,1,3,中和區,54歲,54,54,不相關,0.0,男,2952
110,1,3,中和區,54歲,54,54,不相關,0.0,女,3458
110,1,3,中和區,55歲,55,55,不相關,0.0,男,2933
110,1,3,中和區,55歲,55,55,不相關,0.0,女,3392
110,1,3,中和區,56歲,56,56,不相關,0.0,男,2938
110,1,3,中和區,56歲,56,56,不相關,0.0,女,3509
110,1,3,中和區,57歲,57,57,不相關,0.0,男,2988
110,1,3,中和區,57歲,57,57,不相關,0.0,女,3739
110,1,3,中和區,58歲,58,58,不相關,0.0,男,3030
110,1,3,中和區,58歲,58,58,不相關,0.0,女,3733
110,1,3,中和區,59歲,59,59,不相關,0.0,男,2985
110,1,3,中和區,59歲,59,59,不相關,0.0,女,3505
110,1,3,中和區,60歲,60,60,不相關,0.0,男,2977
110,1,3,中和區,60歲,60,60,不相關,0.0,女,3633
110,1,3,中和區,61歲,61,61,不相關,0.0,男,2886
110,1,3,中和區,61歲,61,61,不相關,0.0,女,3628
110,1,3,中和區,62歲,62,62,不相關,0.0,男,2907
110,1,3,中和區,62歲,62,62,不相關,0.0,女,3817
110,1,3,中和區,63歲,63,63,不相關,0.0,男,2749
110,1,3,中和區,63歲,63,63,不相關,0.0,女,3444
110,1,3,中和區,64歲,64,64,不相關,0.0,男,2927
110,1,3,中和區,64歲,64,64,不相關,0.0,女,3629
110,1,3,中和區,65歲,65,65,不相關,0.0,男,2952
110,1,3,中和區,65歲,65,65,不相關,0.0,女,3622
110,1,3,中和區,66歲,66,66,不相關,0.0,男,2767
110,1,3,中和區,66歲,66,66,不相關,0.0,女,3513
110,1,3,中和區,67歲,67,67,不相關,0.0,男,2631
110,1,3,中和區,67歲,67,67,不相關,0.0,女,3395
110,1,3,中和區,68歲,68,68,不相關,0.0,男,2619
110,1,3,中和區,68歲,68,68,不相關,0.0,女,3268
110,1,3,中和區,69歲,69,69,不相關,0.0,男,2662
110,1,3,中和區,69歲,69,69,不相關,0.0,女,3210
110,1,3,中和區,70歲,70,70,不相關,0.0,男,2170
110,1,3,中和區,70歲,70,70,不相關,0.0,女,2692
110,1,3,中和區,71歲,71,71,不相關,0.0,男,2014
110,1,3,中和區,71歲,71,71,不相關,0.0,女,2533
110,1,3,中和區,72歲,72,72,不相關,0.0,男,1753
110,1,3,中和區,72歲,72,72,不相關,0.0,女,2049
110,1,3,中和區,73歲,73,73,不相關,0.0,男,1439
110,1,3,中和區,73歲,73,73,不相關,0.0,女,1859
110,1,3,中和區,74歲,74,74,不相關,0.0,男,1148
110,1,3,中和區,74歲,74,74,不相關,0.0,女,1466
110,1,3,中和區,75歲,75,75,不相關,0.0,男,920
110,1,3,中和區,75歲,75,75,不相關,0.0,女,1170
110,1,3,中和區,76歲,76,76,不相關,0.0,男,985
110,1,3,中和區,76歲,76,76,不相關,0.0,女,1244
110,1,3,中和區,77歲,77,77,不相關,0.0,男,959
110,1,3,中和區,77歲,77,77,不相關,0.0,女,1247
110,1,3,中和區,78歲,78,78,不相關,0.0,男,762
110,1,3,中和區,78歲,78,78,不相關,0.0,女,1168
110,1,3,中和區,79歲,79,79,不相關,0.0,男,770
110,1,3,中和區,79歲,79,79,不相關,0.0,女,1052
110,1,3,中和區,80歲,80,80,不相關,0.0,男,652
110,1,3,中和區,80歲,80,80,不相關,0.0,女,1059
110,1,3,中和區,81歲,81,81,不相關,0.0,男,550
110,1,3,中和區,81歲,81,81,不相關,0.0,女,804
110,1,3,中和區,82歲,82,82,不相關,0.0,男,410
110,1,3,中和區,82歲,82,82,不相關,0.0,女,810
110,1,3,中和區,83歲,83,83,不相關,0.0,男,388
110,1,3,中和區,83歲,83,83,不相關,0.0,女,674
110,1,3,中和區,84歲,84,84,不相關,0.0,男,371
110,1,3,中和區,84歲,84,84,不相關,0.0,女,572
110,1,3,中和區,85歲,85,85,不相關,0.0,男,311
110,1,3,中和區,85歲,85,85,不相關,0.0,女,528
110,1,3,中和區,86歲,86,86,不相關,0.0,男,280
110,1,3,中和區,86歲,86,86,不相關,0.0,女,451
110,1,3,中和區,87歲,87,87,不相關,0.0,男,268
110,1,3,中和區,87歲,87,87,不相關,0.0,女,425
110,1,3,中和區,88歲,88,88,不相關,0.0,男,319
110,1,3,中和區,88歲,88,88,不相關,0.0,女,338
110,1,3,中和區,89歲,89,89,不相關,0.0,男,306
110,1,3,中和區,89歲,89,89,不相關,0.0,女,302
110,1,3,中和區,90歲,90,90,不相關,0.0,男,289
110,1,3,中和區,90歲,90,90,不相關,0.0,女,261
110,1,3,中和區,91歲,91,91,不相關,0.0,男,282
110,1,3,中和區,91歲,91,91,不相關,0.0,女,209
110,1,3,中和區,92歲,92,92,不相關,0.0,男,234
110,1,3,中和區,92歲,92,92,不相關,0.0,女,178
110,1,3,中和區,93歲,93,93,不相關,0.0,男,165
110,1,3,中和區,93歲,93,93,不相關,0.0,女,154
110,1,3,中和區,94歲,94,94,不相關,0.0,男,144
110,1,3,中和區,94歲,94,94,不相關,0.0,女,119
110,1,3,中和區,95歲,95,95,不相關,0.0,男,117
110,1,3,中和區,95歲,95,95,不相關,0.0,女,98
110,1,3,中和區,96歲,96,96,不相關,0.0,男,77
110,1,3,中和區,96歲,96,96,不相關,0.0,女,69
110,1,3,中和區,97歲,97,97,不相關,0.0,男,56
110,1,3,中和區,97歲,97,97,不相關,0.0,女,52
110,1,3,中和區,98歲,98,98,不相關,0.0,男,38
110,1,3,中和區,98歲,98,98,不相關,0.0,女,31
110,1,3,中和區,99歲,99,99,不相關,0.0,男,32
110,1,3,中和區,99歲,99,99,不相關,0.0,女,28
110,1,3,中和區,100歲以上,100,100,不相關,0.0,男,53
110,1,3,中和區,100歲以上,100,100,不相關,0.0,女,33
110,2,3,中和區,0歲,0,0,不相關,0.0,男,1150
110,2,3,中和區,0歲,0,0,不相關,0.0,女,1037
110,2,3,中和區,1歲,1,1,不相關,0.0,男,1406
110,2,3,中和區,1歲,1,1,不相關,0.0,女,1272
110,2,3,中和區,2歲,2,2,不相關,0.0,男,1407
110,2,3,中和區,2歲,2,2,不相關,0.0,女,1379
110,2,3,中和區,3歲,3,3,不相關,0.0,男,1595
110,2,3,中和區,3歲,3,3,不相關,0.0,女,1391
110,2,3,中和區,4歲,4,4,不相關,0.0,男,1597
110,2,3,中和區,4歲,4,4,不相關,0.0,女,1445
110,2,3,中和區,5歲,5,5,不相關,0.0,男,1610
110,2,3,中和區,5歲,5,5,不相關,0.0,女,1496
110,2,3,中和區,6歲,6,6,不相關,0.0,男,1714
110,2,3,中和區,6歲,6,6,不相關,0.0,女,1577
110,2,3,中和區,7歲,7,7,不相關,0.0,男,1570
110,2,3,中和區,7歲,7,7,不相關,0.0,女,1436
110,2,3,中和區,8歲,8,8,不相關,0.0,男,1798
110,2,3,中和區,8歲,8,8,不相關,0.0,女,1742
110,2,3,中和區,9歲,9,9,不相關,0.0,男,1509
110,2,3,中和區,9歲,9,9,不相關,0.0,女,1426
110,2,3,中和區,10歲,10,10,不相關,0.0,男,1290
110,2,3,中和區,10歲,10,10,不相關,0.0,女,1112
110,2,3,中和區,11歲,11,11,不相關,0.0,男,1296
110,2,3,中和區,11歲,11,11,不相關,0.0,女,1211
110,2,3,中和區,12歲,12,12,不相關,0.0,男,1251
110,2,3,中和區,12歲,12,12,不相關,0.0,女,1173
110,2,3,中和區,13歲,13,13,不相關,0.0,男,1412
110,2,3,中和區,13歲,13,13,不相關,0.0,女,1344
110,2,3,中和區,14歲,14,14,不相關,0.0,男,1566
110,2,3,中和區,14歲,14,14,不相關,0.0,女,1386
110,2,3,中和區,15歲,15,15,不相關,0.0,男,1619
110,2,3,中和區,15歲,15,15,不相關,0.0,女,1457
110,2,3,中和區,16歲,16,16,不相關,0.0,男,1751
110,2,3,中和區,16歲,16,16,不相關,0.0,女,1586
110,2,3,中和區,17歲,17,17,不相關,0.0,男,1885
110,2,3,中和區,17歲,17,17,不相關,0.0,女,1608
110,2,3,中和區,18歲,18,18,完全落入,1.0,男,1991
110,2,3,中和區,18歲,18,18,完全落入,1.0,女,1774
110,2,3,中和區,19歲,19,19,完全落入,1.0,男,1922
110,2,3,中和區,19歲,19,19,完全落入,1.0,女,1831
110,2,3,中和區,20歲,20,20,完全落入,1.0,男,2413
110,2,3,中和區,20歲,20,20,完全落入,1.0,女,2262
110,2,3,中和區,21歲,21,21,完全落入,1.0,男,2290
110,2,3,中和區,21歲,21,21,完全落入,1.0,女,2107
110,2,3,中和區,22歲,22,22,完全落入,1.0,男,2140
110,2,3,中和區,22歲,22,22,完全落入,1.0,女,2089
110,2,3,中和區,23歲,23,23,完全落入,1.0,男,2522
